FacilityID,CampsiteLongitude,CampsiteLatitude
232446,-119.683913958,37.550124511
250877,-115.38476,36.13011
261696,-111.990061,46.993093
264411,-109.858197,43.312133
10004152,-119.60264025,37.741599437
273785,-116.081203,47.267952
273308,-123.56927,43.9039
233392,-112.831477637,37.610919246
10005253,-120.0074842469,38.47731448
261822,-111.888228,46.739591
10006208,-154.04274,60.34805
233596,-116.892201,48.178913
233600,-116.775395,48.159246
233637,-116.586491,48.236785
10007160,-116.1969809152,47.8420733513
253491,-112.464766667,46.8630166667
10009517,-105.2228662461,41.0944438417
257007,-109.621006,38.145151
252037,-120.187855556,39.5402138889
236938,-121.8661677207,43.8468610442
237056,-121.8485677887,43.8444823964
10029004,-121.009551,37.75055
10029012,-120.805419,37.784997
236991,-121.8904793303,43.838011284
252281,-109.634189,38.170228
251958,-114.221805033,38.990427336
10038994,-116.939492303,48.5559797047
233263,-116.87533,48.548257
233264,-116.904167,48.565539
10039887,-121.110083037,39.42879826
10039993,-121.124268903,39.432533427
10040022,-121.165553354,39.469652713
10040565,-112.603544,47.0863936
10040589,-112.5841232295,46.7924494817
10040591,-107.03256,38.91403
10046933,-118.529896794,35.574778833
273309,-123.6622102,43.98579979
10048964,-114.802880617,36.0355584
10048998,-120.7136273,37.81139873
10049273,-108.4814742677,34.137688641
10052227,-108.4888622267,34.1371911646
10068512,-114.687358367,35.49433855
10075403,-139.774634194,59.879754132
259309,-110.627642,44.281152
10077451,-120.7639305,38.94293271
10077501,-105.6641601709,35.8303553269
234629,-153.9021,57.70794
10085599,-113.643944,37.377819
10086109,-113.793284,36.949961
10094038,-116.348055,46.502222
234120,-100.3013085702,41.9006403038
258831,-110.6430380727,43.9054585613
247664,-110.7213268,43.75425914
247785,-110.687973935,44.0055802815
10099575,-110.6356945768,43.9046046114
10101324,-120.714055204,48.348504115
10101333,-120.654415224,48.307874111
10101344,-120.657925222,48.313304111
10101398,-121.933261,47.143821
10103111,-114.9890844756,48.0796557754
258832,-110.667814,44.105138
10119505,-156.218381527,20.739708515
10122832,-110.707,32.408
255136,-113.566977519,43.472627821
258825,-111.822537613,36.039963923
275085,-118.145918974,48.297060507
234062,-118.302986738,47.909963879
10132083,-120.344191,47.740345
10132085,-120.471649,47.864122
232868,-121.7691317327,45.1136970391
255205,-123.4906991105,44.3246127734
15045,-111.853544,43.961886
10156120,-112.4381887626,46.7600653375
10158808,-109.693572,40.181967
260552,-105.852556879,40.379262824
10163081,-111.1558,43.18282
250043,-115.950508,44.774721
262754,-122.4891093,45.04343312
262756,-122.4855831,45.03372815
256932,-118.825107,36.719413
10192010,-111.312247,45.069868
232500,-119.028699478,33.479368133
232502,-119.367751495,34.013854216
232499,-119.660805191,34.010677516
232501,-120.348806222,34.040470075
262752,-123.7947854163,45.2303788817
10215894,-111.097312,34.332549
247566,-112.728475827,32.072024736
10220609,-119.653589,37.539277
10220612,-120.12026,39.040417
266137,-121.6176046182,43.7364632909
234060,-121.263675013,48.671596653
266143,-115.997789,43.630274
267071,-121.624488,44.10291
267078,-121.6382613772,44.4812787739
259031,-121.639429585,46.902433753
267072,-121.800764,43.824095
267552,-121.6351929115,44.4415300433
267554,-121.6244372967,44.1122031317
269838,-121.5352,47.8083972
270816,-112.809759174,31.940189588
232448,-119.353922587,37.874137606
272095,-110.8290882825,33.3349097628
272098,-115.3515278,47.0565889
272173,-111.9152778,46.4755556
272243,-122.593911419,40.599983893
272248,-122.551661867,40.586262897
272250,-122.582691664,40.601411002
272246,-119.7839351642,38.7456638943
272247,-122.671355944,40.641736655
234685,-105.506130942,37.745240485
272300,-116.064881105,33.991852089
273378,-122.2356194,40.8740917
250031,-122.452577,42.1804
273868,-116.1730556,46.7919444
231881,-106.893106167,39.146287867
232323,-106.974166,44.33765
234509,-105.39681541,40.6838734
